##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	237	360	1.52				1	565	1	10	96	530	Automatic	550			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		1369.852	1612.895	1516.828	1624.164	1717.926	1698.814	1790.996	1754.157	1621.708	1463.627				
		13.3548	13.3346	13.2874	13.2608	13.3782	13.3452	13.3156	13.2896	13.2844	13.306				
		1.407	1.596	1.747	1.862	1.865	1.75	1.639	1.812	1.992	2.028				
		13.5052	13.485	13.4386	13.4608	13.539	13.4956	13.466	13.4496	13.4348	13.526				
		1.334	1.517	1.943	2.029	1.983	2.53	2.01	1.903	1.935	1.789				
		13.7108	13.685	13.6578	13.6104	13.6878	13.6556	13.626	13.6096	13.6052	13.686				
		1.552	1.779	1.752	1.949	2.449	2.759	2.227	1.937	1.801	1.74				
		13.8652	13.837	13.8082	13.7608	13.9054	13.806	13.7868	13.76	13.766	13.838				
		2.381	2.713	2.823	3.115	3.957	4.458	4.124	3.986	4.069	4.627				
		
	37.07	14.1652	14.2154	14.1778	14.1728	14.1798	14.1764	14.1564	14.1096	14.1652	14.2164				
		1497.3	1681.434	1586.056	1577.787	1606.456	1596.185	1675.219	1660.542	1591.547	1487.268				
		14.3164	14.365	14.3282	14.3312	14.3494	14.4268	14.306	14.26	14.3156	14.3668				
		1436.465	1704.03	1604.831	1688.233	1697.391	1686.118	1721.093	1737.03	1671.807	1525.633				
		14.486	14.517	14.489	14.5216	14.5086	14.5868	14.474	14.4224	14.4668	14.5868				
		1535.104	1837.576	1737.288	1804.39	1753.72	1813.104	1764.226	1762.799	1726.375	1585.238				
		14.646	14.7458	14.7186	14.672	14.659	14.7364	14.6372	14.5696	14.6756	14.7372				
		1366.823	1609.161	1523.575	1628.314	1729.973	1696.693	1792.197	1755.736	1636.555	1469.47				
		14.8364	14.8962	14.8706	14.832	14.8094	14.8884	14.7868	14.72	14.826	14.8876				
